,0
0,12668
1,3516
2,7084
3,14317
4,23558
5,1748
6,7759
7,23871
8,18270
9,1678
10,10186
11,12688
12,20656
13,24669
14,12685
15,10595
16,24853
17,5971
18,19566
19,20101
20,7458
21,5106
22,3669
23,17517
24,12402
25,4796
26,1582
27,10186
28,2132
29,12854
30,21615
31,7264
32,2524
33,21905
34,13017
35,18305
36,10186
37,19495
38,10239
39,18713
40,10977
41,22715
42,2807
43,3300
44,15073
45,13061
46,10186
47,19803
48,14339
49,6483
50,11024
51,3724
52,23386
53,5041
54,127
55,13728
56,440
57,12969
58,21519
59,23558
60,16447
61,15310
62,22452
63,1389
64,8528
65,20321
66,2127
67,19466
68,23532
69,12465
70,17246
71,462
72,7265
73,9887
74,10186
75,7192
76,2401
77,7844
78,14485
79,1364
80,6219
81,12491
82,15290
83,10186
84,5557
85,21042
86,7603
87,23460
88,10186
89,10186
90,11138
91,4112
92,9604
93,191
94,10186
95,9299
96,10186
97,4305
98,20601
99,11499
100,24623
101,9146
102,3074
103,20007
104,22031
105,8931
106,8382
107,6391
108,5962
109,15378
110,6146
111,9167
112,6264
113,9319
114,5202
115,5239
116,8369
117,5004
118,13457
119,17079
120,11960
121,24362
122,10186
123,18965
124,3146
125,2488
126,1416
127,11193
128,3545
129,8878
130,13829
131,9462
132,3853
133,21183
134,10186
135,10186
136,24390
137,10186
138,9590
139,10687
140,7131
141,16824
142,15093
143,9682
144,9738
145,15205
146,10186
147,5421
148,3935
149,1957
150,2222
151,19773
152,10186
153,10186
154,19563
155,3692
156,22078
157,23042
158,18056
159,17968
160,13172
161,11660
162,1007
163,1595
164,12378
165,7364
166,1246
167,8200
168,10186
169,8454
170,17997
171,15073
172,9996
173,14169
174,5581
175,7994
176,14485
177,23574
178,9211
179,5612
180,23133
181,4034
182,12329
183,14112
184,23260
185,1548
186,12162
187,9053
188,21773
189,3598
190,14449
191,10186
192,23495
193,10186
194,16364
195,19566
196,3578
197,6655
198,7969
199,13066
200,23151
201,15140
202,19594
203,14048
204,16644
205,19655
206,13607
207,11441
208,10186
209,16540
210,10186
211,8176
212,12114
213,8351
214,8189
215,23264
216,7245
217,20672
218,21377
219,10186
220,10186
221,13887
222,19713
223,8028
224,16517
225,3258
226,21394
227,3574
228,10186
229,19683
230,5447
231,3721
232,3213
233,13163
234,14297
235,1338
236,18309
237,7969
238,6116
239,20527
240,24780
241,20756
242,22771
243,15404
244,18122
245,21545
246,14822
247,16180
248,16042
